Product;Category;Price
Aceite de girasol Pureza 1500 cc.;Aceites y vinagres;1.480,00
Aceite en aerosol Carrefour girasol 150 cc.;Aceites y vinagres;1.016,00
Aceite de girasol Lira 900 cc.;Aceites y vinagres;1.140,00
Vinagre de alcohol Menoyo 500 cc.;Aceites y vinagres;248,00
Jugo de limón Minerva pet 500 cc.;Aceites y vinagres;420,00
Aceite de girasol Carrefour alto omega pet 900 cc.;Aceites y vinagres;1.031,14
Aceite en aerosol Fritolim girasol 120 g.;Aceites y vinagres;722,00
Aceite de oliva Carrefour extra virgen 500 cc.;Aceites y vinagres;5.036,00
Aceite de girasol Lira 1.5 l.;Aceites y vinagres;1.820,00
Aceite de girasol Cocinero 900 g.;Aceites y vinagres;1.085,00
Aceite de oliva extra virgen Cocinero suave 500 cc.;Aceites y vinagres;5.810,00
Vinagre de alcohol Casalta pet 1,3 lts.;Aceites y vinagres;657,00
Aceite de oliva Carrefour virgen en botella 500 cc.;Aceites y vinagres;3.874,00
Aceto Lira pet 250 cc.;Aceites y vinagres;802,00
Aceite de maíz Mazola clásico pet 900 cc.;Aceites y vinagres;2.100,00
Vinagre de vino blanco Menoyo 500 cc.;Aceites y vinagres;618,00
Aceite de oliva Cañuelas clásico extra virgen 500 cc.;Aceites y vinagres;5.900,00
Aceite girasol Lira clásico en aerosol 120 cc.;Aceites y vinagres;923,00
Aceite de oliva Cañuelas extra virgen intenso 500 cc.;Aceites y vinagres;5.900,00
Aceite de manteca anti adherente Cocinero fritolim 120 g.;Aceites y vinagres;722,00
Aceite de oliva extra virgen Cocinero intenso 500 cc.;Aceites y vinagres;6.330,00
Vinagre de vino Menoyo 500 cc.;Aceites y vinagres;612,00
Aceite de oliva Nucete extra virgen 500 cc.;Aceites y vinagres;8.305,00
Aceite de girasol Alsamar 900 cc.;Aceites y vinagres;955,00
Jugo de limón Minerva pet 250 cc.;Aceites y vinagres;336,00
Jugo de limón Menoyo 250 cc.;Aceites y vinagres;314,00
Jugo de limón Silva línea gourmet 500 cc.;Aceites y vinagres;431,00
Aceite de oliva Cocinero puro pet 500 cc.;Aceites y vinagres;5.060,00
Aceite de oliva Lira en lata 500 cc.;Aceites y vinagres;7.205,00
Aceite de girasol alto omega Carrefour pet 1.5 l.;Aceites y vinagres;1.979,00
Aceto reducción ahumado Menoyo 250 cc.;Aceites y vinagres;1.435,00
Jugo de limón Menoyo 500 cc.;Aceites y vinagres;628,00
Vinagre de alcohol anive Carrefour pet 250 g.;Aceites y vinagres;138,00
Aceite de oliva extra virgen Morixe vidrio 500 cc.;Aceites y vinagres;8.995,00
Aceite de oliva Cocinero extra virgen pet 500 cc.;Aceites y vinagres;6.860,00
Vinagre de manzana Menoyo pet 250 cc.;Aceites y vinagres;500,00
Vinagre de vino Casalta pet 1.3 lts.;Aceites y vinagres;1.130,00
Aceto balsámico La Toscana 250 cc.;Aceites y vinagres;1.450,00
Aceite de oliva Cocinero puro pet 1 lt.;Aceites y vinagres;11.405,00
Aceite de oliva Lira en lata 1 lt.;Aceites y vinagres;14.965,00
Aceite de oliva Cocinero extra virgen pet 1 lt.;Aceites y vinagres;13.355,00
Vinagre de alcohol Favinco en bidón 5 lts.;Aceites y vinagres;2.638,10
Vinagre de vino Pampagourmet orgánico 250 cc.;Aceites y vinagres;1.905,00
Aceite de canola Carrefour sin gluten botella 500 cc.;Aceites y vinagres;2.383,00
Aceto balsámico La Toscana 250 cc.;Aceites y vinagres;1.675,00
Vinagre de vino Carrefour 500 cc.;Aceites y vinagres;439,00
Aceite de oliva La toscana extra virgen en botella 500 cc.;Aceites y vinagres;9.725,00
Vinagre de manzana clásico Casalta pet 1 l.;Aceites y vinagres;1.600,00
Aceite de oliva La toscana extra virgen pet 250 cc.;Aceites y vinagres;4.985,00
Vinagre de vino Favinco pet 1.3 lts.;Aceites y vinagres;1.130,00
Aceite de canola Carrefour con oliva sin gluten 500 cc.;Aceites y vinagres;2.455,00
Aceite de canola Carrefour albahaca sin gluten 500 cc.;Aceites y vinagres;2.455,00
Aceite de canola Carrefour ajo sin gluten botella 500 cc.;Aceites y vinagres;2.455,00
Aceite de oliva La toscana extra virgen con limón en botella 250 cc.;Aceites y vinagres;5.100,00
Fideos tallarin N5 Lucchetti 500 g.;Pastas secas;928,00
Fideos tirabuzón Sole 500 g.;Pastas secas;548,00
Fideos tirabuzon N34 Lucchetti 500 g.;Pastas secas;928,00
Fideos spaguetti Sole 500 g.;Pastas secas;457,00
Fideos mostacholes Sole 500 g.;Pastas secas;432,00
Fideos mostacholes N52 Matarazzo rayado 500 g.;Pastas secas;1.005,00
Fideos coditos La morocha en bolsa 500 g.;Pastas secas;654,00
Fideos tirabuzon Matarazzo 3 vegetales 500 g.;Pastas secas;1.210,00
Fideos codito Sole 500 g.;Pastas secas;557,00
Fideos rigatti La morocha en bolsa 500 g.;Pastas secas;623,00
Fideos tallarines N5 Matarazzo 500 g.;Pastas secas;1.020,00
Fideos mostacholes N51 Lucchetti rayado 500 g.;Pastas secas;928,00
Fideos penne rigante Matarazzo 500 g.;Pastas secas;1.005,00
Fideos codo La Providencia 500 g.;Pastas secas;191,49
Fideos spaghetti N3 Terrabusi 500 g.;Pastas secas;732,00
Fideos spaghetti N3 Matarazzo 500 g.;Pastas secas;1.020,00
Fideos cinta tallarin Carrefour classic 500 g.;Pastas secas;919,00
Fideos tirabuzones N28 Matarazzo 500 g.;Pastas secas;1.055,00
Fideos spaghetti N7 Lucchetti 500 g.;Pastas secas;974,00
Fideos tirabuzon Terrabusi 3 vegetales 500 g.;Pastas secas;876,00
Fideos mostachol rayado Carrefour classic 500 g.;Pastas secas;919,00
Fideos tallarines N7 Terrabusi 500 g.;Pastas secas;732,00
Fideos guiseros codo Carrefour classic 500 g.;Pastas secas;919,00
Ravioles La salteña de pollo y verdura 450 g.;Pastas secas;851,25
Fideos guiseros moño Carrefour classic 500 g.;Pastas secas;1.059,00
Ravioles La salteña de jamón y muzzarella en blister 450 g.;Pastas secas;851,25
Fideos tirabuzones Classic 500 g.;Pastas secas;919,00
Fideos guiseros tirabuzon Lucchetti 3 vegetales 500 g.;Pastas secas;1.115,00
Fideos Marolio bavette 500 g.;Pastas secas;179,47
Fideos cinta spaghetti Carrefour classic 500 g.;Pastas secas;919,00
Fideos penne rigate N45 Lucchetti 500 g.;Pastas secas;974,00
Fideos fusilli Wakas arroz con quinoa 250 g. sin TACC;Pastas secas;1.740,00
Fideos mostachol liso Marolio 500 g.;Pastas secas;870,00
Ravioles La salteña de espinaca y muzzarella 450 g.;Pastas secas;851,25
Ravioles La salteña de carne y espinaca blister 450 g.;Pastas secas;825,00
Ravioles de ricota La salteña 450 g.;Pastas secas;825,00
Lasagna fácil Matarazzo 250 g.;Pastas secas;487,00
Fideos mostacholes Matarazzo 3 vegetales 500 g.;Pastas secas;1.210,00
Fideos mostacholes Terrabusi 3 vegetales 500 g.;Pastas secas;876,00
Fideos fusilli Wakas multicereal kale 250 g. sin TACC;Pastas secas;1.740,00
Ravioles La sateña 4 quesos blister 450 g.;Pastas secas;851,25
Fideos pampero La Providencia 500 g.;Pastas secas;550,00
Ñoquis de papa Bellaterra flow pack 500 g.;Pastas secas;607,00
Fideos tallarines Don Vicente en bolsa 500 g.;Pastas secas;1.590,00
Fideos cinta fetuccini Don vicente 500 g.;Pastas secas;1.545,00
Fideos forattini Lucchetti 500 g.;Pastas secas;974,00
