Product;Category;Price
Arvejas secas remojadas DIA 300 Gr.;Conservas; 282,68
Durazno en Mitades DIA 820 Gr.;Conservas; 898,26
Duraznos Light en Mitades DIA 800 Gr.;Conservas; 898,26
Arvejas Secas Remojadas DIA 340 Gr.;Conservas; 299,00
Duraznos en Trozos DIA 820 Gr.;Conservas; 898,26
Lentejas Remojadas DIA 340 Gr.;Conservas; 487,41
Choclo Cremoso Amarillo DIA 340 Gr.;Conservas; 200,69
Lomitos de Atún al natural DIA 170 Gr.;Conservas; 716,63
Granos de Choclo Amarillo DIA 300 Gr.;Conservas; 502,57
Porotos Secos Remojados DIA 340 Gr.;Conservas; 268,92
Caballa Al Agua Marbella 380 Gr.;Conservas; 1.499,00
Coctel 4 Frutas DIA 820 Gr.;Conservas; 983,37
Lomitos de Atún Al Natural DIA 354 Gr.;Conservas; 1.073,44
Atún Desmenuzado Al Natural Dia 170 Gr.;Conservas; 418,95
Choclo Amarillo Entero Tarragona 340 Gr.;Conservas; 569,00
Choclo Blanco DIA Cremoso 300 Gr.;Conservas; 311,74
Lentejas Secas Remojadas Dia 300 Gr;Conservas; 418,60
Arvejas secas remojadas Tarragona 340 Gr.;Conservas; 334,61
Filet De Merluza Al Natural Terre & Ocean 160 Gr;Conservas; 1.223,88
Sardinas en Lata Pennisi 125 Grs.;Conservas; 877,06
Arvejas Amarillas Inalpa 300 Gr.;Conservas; 322,84
Jardinera de Hortaliza y Legumbre Doña Pupa 340 Gr.;Conservas; 543,26
Choclo Amarillo Cremoso Montenevi 340 Gr.;Conservas; 358,72
Pickles Castell 140 Gr.;Conservas; 747,00
Porotos Negros Secos Doña Pupa 340 Gr.;Conservas; 463,05
Poroto Alubia Monte Nevi 350 Gr;Conservas; 404,90
Lomitos de Atún Al Natural DIA 240 Gr.;Conservas; 954,45
Caballa al natural DIA 380 Gr.;Conservas; 1.850,97
Arvejas Verdes Remojadas Doña Pupa 350 Gr.;Conservas; 361,74
Porotos Cranberry Inalpa 300 Gr.;Conservas; 439,53
Coditos Favorita 500 Grs.;Pastas-secas; 196,97
Fideos Rigatti San Agustín 500 Grs.;Pastas-secas; 187,86
Fideos Tirabuzón Favorita 500 Gr.;Pastas-secas; 196,97
Fideos Tallarín N7 Matarazzo 500 Grs.;Pastas-secas; 449,01
Fideos Celentano San Agustín 500 Grs.;Pastas-secas; 187,86
Fusilli Alubi&Quinoa Wakas 250 Gr.;Pastas-secas; 1.770,47
Fusilli Garbanzo & Alubia Wakas 250 Gr.;Pastas-secas; 1.770,47
Fideos Mostachol N51 Matarazzo 500 Grs.;Pastas-secas; 471,46
Fideos Spaghetti Cuquets 500 Gr.;Pastas-secas; 384,52
Fideos Spaghetti Dia 500 Gr;Pastas-secas; 438,54
Fideos Tirabuzon Dia 500 Gr;Pastas-secas; 438,54
Fideos Mostachol Cuquets 500 Gr.;Pastas-secas; 384,52
Fideos al Huevo Tallarín Don Vicente 500 Gr.;Pastas-secas; 601,17
Fideos Tirabuzón Cuquets 500 Gr.;Pastas-secas; 384,52
Fideos Codito Dia 500 Gr;Pastas-secas; 438,54
Fideos Guisero Tirabuzón DIA 500 Gr.;Pastas-secas; 419,98
Fideos Spaghetti Pasta Sole 500 Gr.;Pastas-secas; 355,92
Fideos Knorr Tirabuzon 500 Gr.;Pastas-secas; 388,20
Fideos Mostachol Pasta Sole 500 Gr.;Pastas-secas; 355,92
Spaghetti Al Huevo Lucchetti 500 Gr;Pastas-secas; 496,63
Fideos Fusilli Pureza Al Huevo de Sémola 500 Gr.;Pastas-secas; 572,49
Fideos Knorr Coditos 500 Gr.;Pastas-secas; 388,20
Fideos Codito Pasta Sole 500 Gr.;Pastas-secas; 355,92
Fideos Rigatti Pureza Al Huevo de Sémola 500 Gr.;Pastas-secas; 572,49
Tirabuzon N 34 Luchetti 500 Gr.;Pastas-secas; 901,41
Fideos Tirabuzon N28 Matarazzo 500 Gr.;Pastas-secas; 975,50
Fideos Spaghetti N3 Matarazzo 500 Gr.;Pastas-secas; 975,50
Fideos Cabello de Angel DIA 500 Gr.;Pastas-secas; 598,88
Fideos Mostachol N51 Luchetti 500 Gr.;Pastas-secas; 901,41
Mostachol N 52 Matarazzo 500 Gr.;Pastas-secas; 975,50
Fideos Tallarin N5 Matarazzo 500 Gr.;Pastas-secas; 975,50
Tirabuzon 3 Vegetales N 34 Matarazzo 500 Gr.;Pastas-secas; 1.173,07
Fideos Penne Rigate N45 Luchetti 500 Gr.;Pastas-secas; 901,41
Fideos Knorr Tallarines 500 Gr.;Pastas-secas; 916,40
Fideos Bucattini Matarazzo 500 Gr.;Pastas-secas; 975,50
Fideos Tallarin N5 Luchetti 500 Gr.;Pastas-secas; 901,41
Fideos Guisero Mostachol DIA 500 Gr.;Pastas-secas; 379,83
Capelettini Giacomo Verdura 500 Gr.;Pastas-secas; 2.352,00
Capelettini Giacomo Jamón Y Queso 500 Gr.;Pastas-secas; 2.352,00
Arroz Parboil Gallo 500 Gr;Arroz-y-legumbres; 416,27
Arroz Largo Fino Molinos Ala 1 Kg.;Arroz-y-legumbres; 567,24
Arroz Largo Fino Molinos Ala 500 Gr.;Arroz-y-legumbres; 321,82
Arroz Largo Fino 0000 DIA 1 Kg.;Arroz-y-legumbres; 1.232,00
Arroz Largo Fino Primor 1 Kg.;Arroz-y-legumbres; 728,00
Arroz Largo Fino 00000 DIA 1 Kg.;Arroz-y-legumbres; 1.288,00
Risotto Pronto Primavera Gallo 240 Gr.;Arroz-y-legumbres; 1.852,20
Arroz Integral DIA 1 Kg.;Arroz-y-legumbres; 1.232,00
Arroz Largo Fino Vanguardia 1Kg.;Arroz-y-legumbres; 986,61
Arroz Largo Fino Federal 1 Kg;Arroz-y-legumbres; 777,92
Garbanzos Egran 400gr;Arroz-y-legumbres; 949,80
Arroz Largo Fino Bolsa Luchetti 500 Gr.;Arroz-y-legumbres; 668,52
Arroz Parboil Bolsa Luchetti 1 Kg.;Arroz-y-legumbres; 1.616,62
Garbanzos Montenevi 340 Gr.;Arroz-y-legumbres; 433,75
Arroz Doble Carolina Gallo 500 Gr.;Arroz-y-legumbres; 1.234,80
Risotto Pronto 4 Quesos Gallo 240 Gr.;Arroz-y-legumbres; 1.852,20
Lentejas Montenevi 340 Gr.;Arroz-y-legumbres; 498,87
Arroz Preparado Gallo Queso 240 Gr.;Arroz-y-legumbres; 550,00
Porotos Alubia Egran 500gr;Arroz-y-legumbres; 1.018,90
Arroz Largo Fino Luchetti 500 Gr.;Arroz-y-legumbres; 1.215,51
