Product;Category;Price
Lomitos de Atún al natural DIA 170 Gr.;Conservas; 989,00
Atún Desmenuzado Al Natural Dia 170 Gr.;Conservas; 699,00
Puré de Tomate DIA 520 Gr.;Conservas; 389,00
Lomitos de Atún en Aceite DIA 170 Gr.;Conservas; 989,00
Arvejas secas remojadas DIA 300 Gr.;Conservas; 299,00
Durazno en Mitades DIA 820 Gr.;Conservas; 898,26
Lomitos de Atún Al Natural DIA 354 Gr.;Conservas; 1.949,00
Lomitos de Atún en Aceite DIA 240 Gr.;Conservas; 1.849,00
Lomitos de Atún Al Natural DIA 240 Gr.;Conservas; 1.849,00
Atún Desmenuzado en Aceite DIA 170 Gr.;Conservas; 699,00
Duraznos en Trozos DIA 820 Gr.;Conservas; 898,26
Duraznos Light en Mitades DIA 800 Gr.;Conservas; 898,26
Granos de Choclo Amarillo DIA 300 Gr.;Conservas; 499,00
Arvejas Secas Remojadas DIA 340 Gr.;Conservas; 499,00
Lentejas Remojadas DIA 340 Gr.;Conservas; 765,83
Sardinas En Aceite Marbella 160 Gr.;Conservas; 1.398,87
Coctel 4 Frutas DIA 820 Gr.;Conservas; 898,26
Caballa Al Agua Marbella 380 Gr.;Conservas; 2.240,42
Sardinas en Lata Pennisi 125 Grs.;Conservas; 947,22
Caballa Marbella En Aceite 380 Gr.;Conservas; 2.240,42
Filet De Merluza Al Natural Terre & Ocean 160 Gr;Conservas; 1.321,79
Porotos Secos Remojados DIA 340 Gr.;Conservas; 499,00
Anchoas DIA 90 Gr.;Conservas; 2.490,00
Caballa al natural DIA 380 Gr.;Conservas; 1.999,05
Anchoas Provenzal DIA 90 Gr.;Conservas; 2.490,00
Anchoas Calabresa DIA 90 Gr.;Conservas; 2.490,00
Caballa en Aceite DIA 380 Gr.;Conservas; 1.999,05
Tomate Triturado DIA 950 Gr.;Conservas; 862,98
Salsa Pomarola Tipo Casera Knorr 340 Gr.;Conservas; 495,00
Arvejas Inalpa secas remojadas 300 Gr.;Conservas; 276,37
Tomate Triturado DIA 950 Gr.;Conservas; 968,91
Tomate Perita Canale Clásico 400 Gr.;Conservas; 799,00
Lentejas Secas Remojadas Dia 300 Gr;Conservas; 719,00
Salsa Pizza Casera Knorr 340 Gr.;Conservas; 476,09
Jardinera Inalpa 300 Gr.;Conservas; 391,08
Choclo Blanco DIA Cremoso 300 Gr.;Conservas; 336,68
Choclo Amarillo Entero Tarragona 340 Gr.;Conservas; 1.499,00
Salsa Pomarola Menos Sodio Knorr 340 Gr.;Conservas; 509,00
Choclo Amarillo DIA Cremoso 300 Gr.;Conservas; 201,11
Porotos Negros Secos Remojados Dia 300 Gr;Conservas; 404,68
Choclo Amarillo Sin Sal Dia 300 Gr;Conservas; 1.499,00
Tomate Pelado Perita La Campagnola 400 Gr.;Conservas; 338,21
Salsa para Pizza Knorr 200 Grs.;Conservas; 208,30
Pure de Tomate Mora 520 Gr.;Conservas; 387,80
Jardinera Sin Sal Dia 300 Gr.;Conservas; 585,45
Arvejas Secas Remojadas Sin Sal Dia 300 Gr;Conservas; 376,67
Arvejas secas remojadas Tarragona 340 Gr.;Conservas; 556,23
Jardinera de Hortaliza y Legumbre Doña Pupa 340 Gr.;Conservas; 586,72
Salsa Caesar Dos Anclas 350 Gr.;Conservas; 1.214,10
Salsa Lista Arcor Pizza 340 Gr.;Conservas; 303,00
Puré de Tomate DIA sabor Albahaca y Ajo 520 Gr.;Conservas; 799,00
Choclo Amarillo Cremoso Montenevi 340 Gr.;Conservas; 387,42
Arvejas Amarillas Inalpa 300 Gr.;Conservas; 348,67
